ortho,phon,syll
a,a,a
a,a,a
a,a,a
a capella,akapEla,a-ka-pE-la
a cappella,akapEla,a-ka-pE-la
a contrario,ak§tRaRjo,a-k§-tRa-Rjo
a fortiori,afORsjoRi,a-fOR-sjo-Ri
a giorno,adZjORno,ad-ZjOR-no
a jeun,aZ1,a-Z1
a l'instar,al5staR,a-l5s-taR
a posteriori,apOsteRjoRi,a-pOs-te-Rjo-Ri
a priori,apRijoRi,a-pRi-jo-Ri
a priori,apRijoRi,a-pRi-jo-Ri
aa,aa,a-a
ab absurdo,abapsuRdo,a-bap-suR-do
ab initio,abinisjo,a-bi-ni-sjo
ab ovo,abovo,a-bo-vo
abaca,abaka,a-ba-ka
abaissa,abEsa,a-bE-sa
abaissai,abEsE,a-bE-sE
abaissaient,abEsE,a-bE-sE
abaissait,abEsE,a-bE-sE
abaissant,abEs@,a-bE-s@
abaissant,abEs@,a-bE-s@
abaissante,abEs@t,a-bE-s@t
abaisse,abEs,a-bEs
abaisse,abEs,a-bEs
abaisse-langue,abEsl@g,a-bE-sl@g
abaissement,abEs°m@,a-bE-s°-m@
abaissent,abEs,a-bEs
abaisser,abese,a-be-se
abaissera,abEs°Ra,a-bE-s°-Ra
abaisserai,abEs°RE,a-bE-s°-RE
abaisseraient,abEs°RE,a-bE-s°-RE
abaisserais,abEs°RE,a-bE-s°-RE
abaisserait,abEs°RE,a-bE-s°-RE
abaisses,abEs,a-bEs
abaissez,abEse,a-bE-se
abaissons,abEs§,a-bE-s§
abaissèrent,abEsER,a-bE-sER
abaissé,abese,a-be-se
abaissé,abese,a-be-se
abaissée,abese,a-be-se
abaissée,abese,a-be-se
abaissées,abese,a-be-se
abaissées,abese,a-be-se
abaissés,abese,a-be-se
abaissés,abese,a-be-se
abalone,abalOn,a-ba-lOn
abalones,abalOn,a-ba-lOn
abandon,ab@d§,a-b@-d§
abandonna,ab@dona,a-b@-do-na
abandonnai,ab@donE,a-b@-do-nE
abandonnaient,ab@donE,a-b@-do-nE
abandonnais,ab@donE,a-b@-do-nE
abandonnait,ab@donE,a-b@-do-nE
abandonnant,ab@don@,a-b@-do-n@
abandonnas,ab@dona,a-b@-do-na
abandonne,ab@dOn,a-b@-dOn
abandonnent,ab@dOn,a-b@-dOn
abandonner,ab@done,a-b@-do-ne
abandonnera,ab@dOn°Ra,a-b@-dO-n°-Ra
abandonnerai,ab@dOn°RE,a-b@-dO-n°-RE
abandonneraient,ab@dOn°RE,a-b@-dO-n°-RE
abandonnerais,ab@dOn°RE,a-b@-dO-n°-RE
abandonnerait,ab@dOn°RE,a-b@-dO-n°-RE
abandonneras,ab@dOn°Ra,a-b@-dO-n°-Ra
abandonnerez,ab@dOn°Re,a-b@-dO-n°-Re
abandonneriez,ab@dOn°Rje,a-b@-dO-n°-Rje
abandonnerions,ab@dOn°Rj§,a-b@-dO-n°-Rj§
abandonnerons,ab@dOn°R§,a-b@-dO-n°-R§
abandonneront,ab@dOn°R§,a-b@-dO-n°-R§
abandonnes,ab@dOn,a-b@-dOn
abandonneurs,ab@don9R,a-b@-do-n9R
abandonnez,ab@done,a-b@-do-ne
abandonniez,ab@donje,a-b@-do-nje
abandonnions,ab@donj§,a-b@-do-nj§
abandonnique,ab@donik,a-b@-do-nik
abandonnons,ab@don§,a-b@-do-n§
abandonnâmes,ab@donam,a-b@-do-nam
abandonnât,ab@dona,a-b@-do-na
abandonnèrent,ab@donER,a-b@-do-nER
abandonné,ab@done,a-b@-do-ne
abandonné,ab@done,a-b@-do-ne
abandonnée,ab@done,a-b@-do-ne
abandonnée,ab@done,a-b@-do-ne
abandonnées,ab@done,a-b@-do-ne
abandonnées,ab@done,a-b@-do-ne
abandonnés,ab@done,a-b@-do-ne
abandonnés,ab@done,a-b@-do-ne
abandons,ab@d§,a-b@-d§
abaque,abak,a-bak
abasourdi,abazuRdi,a-ba-zuR-di
abasourdi,abazuRdi,a-ba-zuR-di
abasourdie,abazuRdi,a-ba-zuR-di
abasourdie,abazuRdi,a-ba-zuR-di
abasourdir,abazuRdiR,a-ba-zuR-diR
abasourdis,abazuRdi,a-ba-zuR-di
abasourdis,abazuRdi,a-ba-zuR-di
abasourdissant,abazuRdis@,a-ba-zuR-di-s@
abasourdissants,abazuRdis@,a-ba-zuR-di-s@
abat,aba,a-ba
abat,aba,a-ba
abat-jour,abaZuR,a-ba-ZuR
abat-son,abas§,a-ba-s§
abatage,abataZ,a-ba-taZ
abatis,abati,a-ba-ti
abats,aba,a-ba
abats,aba,a-ba
abattage,abataZ,a-ba-taZ
abattages,abataZ,a-ba-taZ
abattaient,abatE,a-ba-tE
abattais,abatE,a-ba-tE
abattait,abatE,a-ba-tE
abattant,abat@,a-ba-t@
abattant,abat@,a-ba-t@
abattants,abat@,a-ba-t@
abatte,abat,a-bat
abattement,abat°m@,a-ba-t°-m@
abattements,abat°m@,a-ba-t°-m@
abattent,abat,a-bat
abattes,abat,a-bat
abatteur,abat9R,a-ba-t9R
abatteurs,abat9R,a-ba-t9R
abattez,abate,a-ba-te
abattiez,abatje,a-ba-tje
abattions,abatj§,a-ba-tj§
abattirent,abatiR,a-ba-tiR
abattis,abati,a-ba-ti
abattis,abati,a-ba-ti
abattit,abati,a-ba-ti
abattoir,abatwaR,a-ba-twaR
abattoirs,abatwaR,a-ba-twaR
abattons,abat§,a-ba-t§
abattra,abatRa,a-ba-tRa
abattrai,abatRE,a-ba-tRE
abattraient,abatRE,a-ba-tRE
abattrais,abatRE,a-ba-tRE
abattrait,abatRE,a-ba-tRE
abattras,abatRa,a-ba-tRa
abattre,abatR,a-batR
abattrez,abatRe,a-ba-tRe
abattriez,abatRie,a-ba-tRi-e
abattrons,abatR§,a-ba-tR§
abattront,abatR§,a-ba-tR§
abattu,abaty,a-ba-ty
abattu,abaty,a-ba-ty
abattu,abaty,a-ba-ty
abattue,abaty,a-ba-ty
abattue,abaty,a-ba-ty
abattues,abaty,a-ba-ty
abattues,abaty,a-ba-ty
abattures,abatyR,a-ba-tyR
abattus,abaty,a-ba-ty
abattus,abaty,a-ba-ty
abattus,abaty,a-ba-ty
abbatial,abasjal,a-ba-sjal
abbatiale,abasjal,a-ba-sjal
abbatiale,abasjal,a-ba-sjal
abbatiales,abasjal,a-ba-sjal
abbaye,abei,a-be-i
abbayes,abei,a-be-i
abbesse,abEs,a-bEs
abbesses,abEs,a-bEs
abbé,abe,a-be
abbés,abe,a-be
abc,abese,a-be-se
abcès,apsE,ap-sE
abdication,abdikasj§,ab-di-ka-sj§
abdications,abdikasj§,ab-di-ka-sj§
abdiqua,abdika,ab-di-ka
abdiquai,abdikE,ab-di-kE
abdiquaient,abdikE,ab-di-kE
abdiquais,abdikE,ab-di-kE
abdiquait,abdikE,ab-di-kE
abdiquant,abdik@,ab-di-k@
abdique,abdik,ab-dik
abdiquer,abdike,ab-di-ke
abdiquera,abdik°Ra,ab-di-k°-Ra
abdiquerais,abdik°RE,ab-di-k°-RE
abdiquerait,abdik°RE,ab-di-k°-RE
abdiquez,abdike,ab-di-ke
abdiqué,abdike,ab-di-ke
abdiquée,abdike,ab-di-ke
abdomen,abdomEn,ab-do-mEn
abdominal,abdominal,ab-do-mi-nal
abdominale,abdominal,ab-do-mi-nal
abdominales,abdominal,ab-do-mi-nal
abdominaux,abdomino,ab-do-mi-no
abdominaux,abdomino,ab-do-mi-no
abdos,abdo,ab-do
abducteur,abdykt9R,ab-dyk-t9R
abduction,abdyksj§,ab-dyk-sj§
abeille,abEj,a-bEj
abeilles,abEj,a-bEj
aber,abe,a-be
aberrant,abER@,a-bE-R@
aberrant,abER@,a-bE-R@
aberrante,abER@t,a-bE-R@t
aberrantes,abER@t,a-bE-R@t
aberrants,abER@,a-bE-R@
aberration,abERasj§,a-bE-Ra-sj§
aberrations,abERasj§,a-bE-Ra-sj§
abhorrais,abORE,a-bO-RE
abhorrait,abORE,a-bO-RE
abhorrant,abOR@,a-bO-R@
abhorre,abOR,a-bOR
abhorrer,abORe,a-bO-Re
abhorrez,abORe,a-bO-Re
abhorré,abORe,a-bO-Re
abhorré,abORe,a-bO-Re
abhorrée,abORe,a-bO-Re
abhorrée,abORe,a-bO-Re
abhorrés,abORe,a-bO-Re
abject,abZEkt,ab-ZEkt
abjecte,abZEkt,ab-ZEkt
abjectement,abZEkt°m@,ab-ZEk-t°-m@
abjectes,abZEkt,ab-ZEkt
abjection,abZEksj§,ab-ZEk-sj§
abjections,abZEksj§,ab-ZEk-sj§
abjects,abZEkt,ab-ZEkt
abjurant,abZyR@,ab-Zy-R@
abjuration,abZyRasj§,ab-Zy-Ra-sj§
abjurations,abZyRasj§,ab-Zy-Ra-sj§
abjure,abZyR,ab-ZyR
abjurer,abZyRe,ab-Zy-Re
abjurez,abZyRe,ab-Zy-Re
abjurons,abZyR§,ab-Zy-R§
abjuré,abZyRe,ab-Zy-Re
abkhaze,abkaz,ab-kaz
ablatif,ablatif,a-bla-tif
ablation,ablasj§,a-bla-sj§
ablations,ablasj§,a-bla-sj§
able,abl,abl
ablette,ablEt,a-blEt
ablettes,ablEt,a-blEt
ablution,ablysj§,a-bly-sj§
ablutions,ablysj§,a-bly-sj§
abnégation,abnegasj§,ab-ne-ga-sj§
aboi,abwa,a-bwa
aboie,abwa,a-bwa
aboiement,abwam@,a-bwa-m@
aboiements,abwam@,a-bwa-m@
aboient,abwa,a-bwa
aboiera,abwaRa,a-bwa-Ra
aboierait,abwaRE,a-bwa-RE
aboieront,abwaR§,a-bwa-R§
aboies,abwa,a-bwa
abois,abwa,a-bwa
aboli,aboli,a-bo-li
aboli,aboli,a-bo-li
abolie,aboli,a-bo-li
abolie,aboli,a-bo-li
abolies,aboli,a-bo-li
abolies,aboli,a-bo-li
abolir,aboliR,a-bo-liR
abolira,aboliRa,a-bo-li-Ra
abolirait,aboliRE,a-bo-li-RE
aboliras,aboliRa,a-bo-li-Ra
abolis,aboli,a-bo-li
abolis,aboli,a-bo-li
abolissaient,abolisE,a-bo-li-sE
abolissais,abolisE,a-bo-li-sE
abolissait,abolisE,a-bo-li-sE
abolissant,abolis@,a-bo-li-s@
abolissent,abolis,a-bo-lis
abolissions,abolisj§,a-bo-li-sj§
abolissons,abolis§,a-bo-li-s§
abolit,aboli,a-bo-li
abolition,abolisj§,a-bo-li-sj§
abolitionniste,abolisjonist,a-bo-li-sjo-nist
abolitionniste,abolisjonist,a-bo-li-sjo-nist
abolitionnistes,abolisjonist,a-bo-li-sjo-nist
abolitionnistes,abolisjonist,a-bo-li-sjo-nist
abominable,abominabl,a-bo-mi-nabl
abominablement,abominabl°m@,a-bo-mi-na-bl°-m@
abominables,abominabl,a-bo-mi-nabl
abominaient,abominE,a-bo-mi-nE
abomination,abominasj§,a-bo-mi-na-sj§
abominations,abominasj§,a-bo-mi-na-sj§
abomine,abomin,a-bo-min
abominer,abomine,a-bo-mi-ne
abonda,ab§da,a-b§-da
abondai,ab§dE,a-b§-dE
abondaient,ab§dE,a-b§-dE
abondais,ab§dE,a-b§-dE
abondait,ab§dE,a-b§-dE
abondamment,ab§dam@,a-b§-da-m@
abondance,ab§d@s,a-b§-d@s
abondant,ab§d@,a-b§-d@
abondant,ab§d@,a-b§-d@
abondante,ab§d@t,a-b§-d@t
abondantes,ab§d@t,a-b§-d@t
abondants,ab§d@,a-b§-d@
abondassent,ab§das,a-b§-das
abonde,ab§d,a-b§d
abondent,ab§d,a-b§d
abonder,ab§de,a-b§-de
abondé,ab§de,a-b§-de
abonnai,abonE,a-bo-nE
abonnant,abOn@,a-bO-n@
abonne,abOn,a-bOn
abonnement,abOn°m@,a-bO-n°-m@
abonnements,abOn°m@,a-bO-n°-m@
abonner,abone,a-bo-ne
abonnez,abone,a-bo-ne
abonnât,abona,a-bo-na
abonné,abone,a-bo-ne
abonné,abone,a-bo-ne
abonné,abone,a-bo-ne
abonnée,abone,a-bo-ne
abonnée,abone,a-bo-ne
abonnée,abone,a-bo-ne
abonnées,abone,a-bo-ne
abonnées,abone,a-bo-ne
abonnés,abone,a-bo-ne
abonnés,abone,a-bo-ne
abonnés,abone,a-bo-ne
abord,abOR,a-bOR
aborda,abORda,a-bOR-da
abordable,abORdabl,a-bOR-dabl
abordables,abORdabl,a-bOR-dabl
abordage,abORdaZ,a-bOR-daZ
abordages,abORdaZ,a-bOR-daZ
abordai,abORdE,a-bOR-dE
abordaient,abORdE,a-bOR-dE
abordais,abORdE,a-bOR-dE
abordait,abORdE,a-bOR-dE
abordant,abORd@,a-bOR-d@
aborde,abORd,a-bORd
abordent,abORd,a-bORd
aborder,abORde,a-bOR-de
abordera,abORd°Ra,a-bOR-d°-Ra
aborderai,abORd°RE,a-bOR-d°-RE
aborderaient,abORd°RE,a-bOR-d°-RE
aborderais,abORd°RE,a-bOR-d°-RE
aborderait,abORd°RE,a-bOR-d°-RE
aborderiez,abORd°Rje,a-bOR-d°-Rje
aborderions,abORd°Rj§,a-bOR-d°-Rj§
aborderons,abORd°R§,a-bOR-d°-R§
aborderont,abORd°R§,a-bOR-d°-R§
abordes,abORd,a-bORd
abordez,abORde,a-bOR-de
abordiez,abORdje,a-bOR-dje
abordions,abORdj§,a-bOR-dj§
abordons,abORd§,a-bOR-d§
abords,abOR,a-bOR
abordâmes,abORdam,a-bOR-dam
abordèrent,abORdER,a-bOR-dER
abordé,abORde,a-bOR-de
abordé,abORde,a-bOR-de
abordée,abORde,a-bOR-de
abordées,abORde,a-bOR-de
abordées,abORde,a-bOR-de
abordés,abORde,a-bOR-de
abordés,abORde,a-bOR-de
aborigène,aboRiZEn,a-bo-Ri-ZEn
aborigène,aboRiZEn,a-bo-Ri-ZEn
aborigènes,aboRiZEn,a-bo-Ri-ZEn
aborigènes,aboRiZEn,a-bo-Ri-ZEn
abornement,abORn°m@,a-bOR-n°-m@
abortif,abORtif,a-bOR-tif
abortive,abORtiv,a-bOR-tiv
abortives,abORtiv,a-bOR-tiv
abouchaient,abuSE,a-bu-SE
abouchais,abuSE,a-bu-SE
abouchait,abuSE,a-bu-SE
abouchant,abuS@,a-bu-S@
abouchements,abuS°m@,a-bu-S°-m@
aboucher,abuSe,a-bu-Se
abouché,abuSe,a-bu-Se
abouchée,abuSe,a-bu-Se
abouchés,abuSe,a-bu-Se
aboule,abul,a-bul
abouler,abule,a-bu-le
aboules,abul,a-bul
aboulez,abule,a-bu-le
aboulie,abuli,a-bu-li
aboulique,abulik,a-bu-lik
abouliques,abulik,a-bu-lik
abounas,abuna,a-bu-na
about,abu,a-bu
aboutait,abutE,a-bu-tE
abouti,abuti,a-bu-ti
abouti,abuti,a-bu-ti
aboutie,abuti,a-bu-ti
aboutie,abuti,a-bu-ti
aboutir,abutiR,a-bu-tiR
aboutira,abutiRa,a-bu-ti-Ra
aboutirai,abutiRE,a-bu-ti-RE
aboutiraient,abutiRE,a-bu-ti-RE
aboutirais,abutiRE,a-bu-ti-RE
aboutirait,abutiRE,a-bu-ti-RE
aboutiras,abutiRa,a-bu-ti-Ra
aboutirent,abutiR,a-bu-tiR
aboutirons,abutiR§,a-bu-ti-R§
aboutiront,abutiR§,a-bu-ti-R§
aboutis,abuti,a-bu-ti
aboutis,abuti,a-bu-ti
aboutissaient,abutisE,a-bu-ti-sE
aboutissait,abutisE,a-bu-ti-sE
aboutissant,abutis@,a-bu-ti-s@
aboutissant,abutis@,a-bu-ti-s@
aboutissants,abutis@,a-bu-ti-s@
aboutisse,abutis,a-bu-tis
aboutissement,abutis°m@,a-bu-ti-s°-m@
aboutissent,abutis,a-bu-tis
aboutissez,abutise,a-bu-ti-se
aboutissiez,abutisje,a-bu-ti-sje
aboutissions,abutisj§,a-bu-ti-sj§
aboutit,abuti,a-bu-ti
aboutonnai,abutonE,a-bu-to-nE
aboutons,abut§,a-bu-t§
aboutîmes,abutim,a-bu-tim
aboya,abwaja,a-bwa-ja
aboyaient,abwajE,a-bwa-jE
aboyait,abwajE,a-bwa-jE
aboyant,abwaj@,a-bwa-j@
aboyant,abwaj@,a-bwa-j@
aboyante,abwaj@t,a-bwa-j@t
aboyer,abwaje,a-bwa-je
aboyeur,abwaj9R,a-bwa-j9R
aboyeur,abwaj9R,a-bwa-j9R
aboyeurs,abwaj9R,a-bwa-j9R
aboyeurs,abwaj9R,a-bwa-j9R
aboyons,abwaj§,a-bwa-j§
aboyèrent,abwajER,a-bwa-jER
aboyé,abwaje,a-bwa-je
abracadabra,abRakadabRa,a-bRa-ka-da-bRa
abracadabrant,abRakadabR@,a-bRa-ka-da-bR@
abracadabrante,abRakadabR@t,a-bRa-ka-da-bR@t
abracadabrantes,abRakadabR@t,a-bRa-ka-da-bR@t
abracadabrants,abRakadabR@,a-bRa-ka-da-bR@
abracadabré,abRakadabRe,a-bRa-ka-da-bRe
abrasif,abRazif,a-bRa-zif
abrasif,abRazif,a-bRa-zif
abrasifs,abRazif,a-bRa-zif
abrasifs,abRazif,a-bRa-zif
abrasion,abRazj§,a-bRa-zj§
abrasive,abRaziv,a-bRa-ziv
abrasé,abRaze,a-bRa-ze
abraxas,abRaksas,a-bRak-sas
abreuva,abR9va,a-bR9-va
abreuvage,abR9vaZ,a-bR9-vaZ
abreuvaient,abR9vE,a-bR9-vE
abreuvait,abR9vE,a-bR9-vE
abreuvant,abR9v@,a-bR9-v@
abreuve,abR9v,a-bR9v
abreuvent,abR9v,a-bR9v
abreuver,abR9ve,a-bR9-ve
abreuvera,abR9v°Ra,a-bR9-v°-Ra
abreuveraient,abR9v°RE,a-bR9-v°-RE
abreuvez,abR9ve,a-bR9-ve
abreuvoir,abR9vwaR,a-bR9-vwaR
abreuvoirs,abR9vwaR,a-bR9-vwaR
abreuvons,abR9v§,a-bR9-v§
abreuvé,abR9ve,a-bR9-ve
abreuvé,abR9ve,a-bR9-ve
abreuvée,abR9ve,a-bR9-ve
abreuvés,abR9ve,a-bR9-ve
abreuvés,abR9ve,a-bR9-ve
abri,abRi,a-bRi
abri-refuge,abRiR°fyZ,a-bRi-R°-fyZ
abribus,abRibys,a-bRi-bys
abricot,abRiko,a-bRi-ko
abricot,abRiko,a-bRi-ko
abricotez,abRikote,a-bRi-ko-te
abricotier,abRikotje,a-bRi-ko-tje
abricotiers,abRikotje,a-bRi-ko-tje
abricotine,abRikotin,a-bRi-ko-tin
abricots,abRiko,a-bRi-ko
abris,abRi,a-bRi
abrita,abRita,a-bRi-ta
abritai,abRitE,a-bRi-tE
abritaient,abRitE,a-bRi-tE
abritais,abRitE,a-bRi-tE
abritait,abRitE,a-bRi-tE
abritant,abRit@,a-bRi-t@
abritant,abRit@,a-bRi-t@
abrite,abRit,a-bRit
abritent,abRit,a-bRit
abriter,abRite,a-bRi-te
abritera,abRit°Ra,a-bRi-t°-Ra
abriterait,abRit°RE,a-bRi-t°-RE
abriterons,abRit°R§,a-bRi-t°-R§
abriteront,abRit°R§,a-bRi-t°-R§
abrites,abRit,a-bRit
abritez,abRite,a-bRi-te
abritiez,abRitje,a-bRi-tje
abritions,abRitj§,a-bRi-tj§
abritons,abRit§,a-bRi-t§
abritâmes,abRitam,a-bRi-tam
