ortho,phon,syll
bortch,bORtS,bORtS
protocolaire,pRotokolER,pRo-to-ko-lER
performante,pERfORm@t,pER-fOR-m@t
nonchalant,n§Sal@,n§-Sa-l@
rondeurs,R§d9R,R§-d9R
forfaitaires,fORfEtER,fOR-fE-tER
approximatifs,apROksimatif,a-pROk-si-ma-tif
étouffeur,etuf9R,e-tu-f9R
charges,SaRZ,SaRZ
éditorialiste,editoRjalist,e-di-to-Rja-list
herser,ERse,ER-se
suivront,s8ivR§,s8i-vR§
saisonnière,sEzonjER,sE-zo-njER
démantelez,dem@t°le,de-m@-t°-le
kiki,kiki,ki-ki
jacob,ZakOb,Za-kOb
sociaux,sosjo,so-sjo
autoconservation,otok§sERvasj§,o-to-k§-sER-va-sj§
procédaient,pRosedE,pRo-se-dE
envoyai,@vwajE,@-vwa-jE
périsse,peRis,pe-Ris
pistil,pistil,pis-til
dominerons,domin°R§,do-mi-n°-R§
torts,tOR,tOR
aménageai,amenaZE,a-me-na-ZE
ocre,OkR,OkR
réfracté,RefRakte,Re-fRak-te
déflorer,defloRe,de-flo-Re
symbolisaient,s5bolizE,s5-bo-li-zE
funèbres,fynEbR,fy-nEbR
introuvables,5tRuvabl,5-tRu-vabl
algarade,algaRad,al-ga-Rad
persécutées,pERsekyte,pER-se-ky-te
revu,R°vy,R°-vy
rebattu,R°baty,R°-ba-ty
refila,R°fila,R°-fi-la
monothéiste,monoteist,mo-no-te-ist
autoritarisme,otoRitaRizm,o-to-Ri-ta-Rizm
fourrez,fuRe,fu-Re
famulus,famylys,fa-my-lys
croupie,kRupi,kRu-pi
clapotant,klapot@,kla-po-t@
exploités,Eksplwate,Ek-splwa-te
gonzes,g§z,g§z
soumirent,sumiR,su-miR
raccordant,RakORd@,Ra-kOR-d@
pédoque,pedOk,pe-dOk
rab,Rab,Rab
latinisé,latinize,la-ti-ni-ze
cantate,k@tat,k@-tat
intervenait,5tERv°nE,5-tER-v°-nE
resurgît,R°syRZi,R°-syR-Zi
survolé,syRvole,syR-vo-le
redemandait,R°d°m@dE,R°-d°-m@-dE
fileur,fil9R,fi-l9R
épanouissante,epanwis@t,e-pa-nwi-s@t
amoindrir,amw5dRiR,a-mw5-dRiR
complaisantes,k§plEz@t,k§-plE-z@t
lavette,lavEt,la-vEt
empoignons,@pwaN§,@-pwa-N§
macarel,makaREl,ma-ka-REl
commémorent,komemOR,ko-me-mOR
brabant,bRab@,bRa-b@
matriarcal,matRijaRkal,ma-tRi-jaR-kal
préadolescente,pReadOlEs@t,pRe-a-dO-lE-s@t
larcins,laRs5,laR-s5
lustraient,lystRE,lys-tRE
pressentions,pRes@tj§,pRe-s@-tj§
ovaire,ovER,o-vER
rude,Ryd,Ryd
bredouiller,bR°duje,bR°-du-je
dérivation,deRivasj§,de-Ri-va-sj§
sardiniers,saRdinje,saR-di-nje
signeront,siN°R§,si-N°-R§
diminuée,dimin8e,di-mi-n8e
gourde,guRd,guRd
souches,suS,suS
inconvénients,5k§venj@,5-k§-ve-nj@
franco-anglaises,fR@ko@glEz,fR@-ko-@-glEz
resteriez,REst°Rje,REs-t°-Rje
trafique,tRafik,tRa-fik
crues,kRy,kRy
communautaires,komynotER,ko-my-no-tER
reprisait,R°pRizE,R°-pRi-zE
braquait,bRakE,bRa-kE
gratuits,gRat8i,gRa-t8i
pense,p@s,p@s
microcéphales,mikRosefal,mi-kRo-se-fal
gigotez,Zigote,Zi-go-te
instaurés,5stoRe,5s-to-Re
maudirent,modiR,mo-diR
schlem,SlEm,SlEm
kachoube,kaSub,ka-Sub
galopes,galOp,ga-lOp
contre-exemple,k§tREgz@pl,k§-tREg-z@pl
sympathisaient,s5patizE,s5-pa-ti-zE
cardium,kaRdjOm,kaR-djOm
cato,kato,ka-to
incrimine,5kRimin,5-kRi-min
pâlit,pali,pa-li
évincé,ev5se,e-v5-se
rapides,Rapid,Ra-pid
tolérant,toleR@,to-le-R@
riff,Rif,Rif
reporte,R°pORt,R°-pORt
interdit,5tERdi,5-tER-di
battes,bat,bat
rassérénée,RaseRene,Ra-se-Re-ne
harangués,aR@ge,a-R@-ge
filtrage,filtRaZ,fil-tRaZ
réceptacles,ResEptakl,Re-sEp-takl
éparpillé,epaRpije,e-paR-pi-je
détaxe,detaks,de-taks
défricha,defRiSa,de-fRi-Sa
pionner,pjOne,pjO-ne
traînant,tREn@,tRE-n@
chrysalide,kRizalid,kRi-za-lid
filtrèrent,filtRER,fil-tRER
loches,lOS,lOS
caramboles,kaR@bOl,ka-R@-bOl
crayonnage,kREjonaZ,kRE-jo-naZ
daurade,doRad,do-Rad
clérical,kleRikal,kle-Ri-kal
déficelèrent,defis°lER,de-fi-s°-lER
aludes,alyd,a-lyd
gangrena,g@gR°na,g@-gR°-na
attrapent,atRap,a-tRap
globules,glObyl,glO-byl
nudistes,nydist,ny-dist
marqueterie,maRkEt°Ri,maR-kE-t°-Ri
entendirent,@t@diR,@-t@-diR
détroncher,detR§Se,de-tR§-Se
plions,plij§,pli-j§
poses,poz,poz
regroupaient,R°gRupE,R°-gRu-pE
cou,ku,ku
régiront,ReZiR§,Re-Zi-R§
beurrées,b9Re,b9-Re
presse-fruits,pREsfR8i,pREs-fR8i
tassé,tase,ta-se
distribués,distRib8e,dis-tRi-b8e
aoûtat,auta,a-u-ta
